sample_id,spin_speed_rpm,antisolvent_tip_height_mm,antisolvent_volume_uL,antisolvent_drop_time_s,film_thickness_nm,pl_intensity_au
S148,4000,10,100,7,465.4,212064
S149,5000,5,120,7,365.4,408987
S150,3500,2,100,5,482.1,417582
S151,3000,1,100,11,496.7,335617
S152,3000,2,120,11,494.1,305109
S153,4500,5,80,9,430.8,335694
S154,5000,1,120,5,358.5,483945
S155,4000,3,120,3,400.6,423043
S156,5000,10,120,7,408.7,283567
S157,4500,2,60,11,400.0,363232
S158,4500,2,80,5,384.0,420459
S159,4500,2,100,11,410.6,391106
S160,4000,2,100,3,460.7,447582
S161,4500,5,60,7,419.7,298856
S162,5000,10,60,11,384.4,213837
S163,4500,0.5,100,11,393.5,410971
S164,5000,1,80,9,391.4,436790
S165,3500,0.5,80,7,509.5,386764
S166,5000,5,120,9,393.3,383893
S167,3000,2,60,5,530.1,366424
S168,3500,2,120,7,481.2,378295
S169,5000,3,60,5,362.8,416951
S170,4000,1,100,3,422.9,479024
S171,3500,3,100,11,478.4,343252
S172,4500,5,60,11,370.7,260696
S173,4500,2,120,7,382.0,430823
S174,5000,2,100,5,374.0,468057
S175,3500,5,100,5,482.9,318498
S176,5000,2,80,7,373.3,411812
S177,3000,1,80,7,537.3,373579
S178,5000,2,80,3,376.2,482244
S179,3000,5,80,9,530.7,285772
S180,3000,3,120,7,524.6,342244
S181,5000,5,60,9,357.9,298290
S182,5000,0.5,60,5,350.1,449946
S183,3000,2,100,9,524.9,343354
S184,4000,2,120,7,448.8,407158
S185,5000,10,100,5,384.4,288267
S186,3500,5,60,11,484.4,213636
S187,4000,3,80,3,456.8,399135
S188,5000,10,100,3,346.8,288504
S189,3500,2,60,7,491.2,319207
S190,4000,10,100,3,451.0,207994
S191,5000,10,100,9,391.4,263455
S192,4000,10,60,7,444.0,171996
S193,3500,10,60,11,448.4,90000
S194,4500,5,100,5,404.3,348413
S195,3000,5,80,7,537.4,302941
S196,4500,2,80,7,390.2,390576
S197,3000,0.5,120,5,529.8,464945
S198,4000,3,120,7,428.4,404479
S199,5000,3,80,3,399.1,408661
S200,3000,3,60,5,505.5,297681
